kingdom	phylum	class	order	family	genus	species	lastvalue	otu_seq_comp_appr	otu_db	lsid	taxonRank	specificEpithet
asv.1666	Eukaryota	Mollusca	Bivalvia				Bivalvia sp. BOLD_ACQ7224	Bivalvia sp. BOLD_ACQ7224	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.1729	Eukaryota	Rhodophyta	Florideophyceae	Hapalidiales	Hapalidiaceae	Roseolithon	Roseolithon karaiborum	Roseolithon karaiborum	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.1911	Eukaryota	Chlorophyta	Trebouxiophyceae				Trebouxiophyceae sp. MX_AZ01	Trebouxiophyceae sp. MX_AZ01	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.1946	Eukaryota	Arthropoda	Insecta	Hemiptera	Naucoridae	Laccocoris	Laccocoris limigenus	Laccocoris limigenus	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.1953	Eukaryota	Arthropoda	Insecta	Coleoptera	Cerambycidae	Clytus	Clytus ruricola	Clytus ruricola	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.1961	Eukaryota	Arthropoda	Arachnida	Trombidiformes	Rhagidiidae		Rhagidiidae sp. BOLD_AAM8011	Rhagidiidae sp. BOLD_AAM8011	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2021	Eukaryota	Arthropoda	Hexanauplia	Harpacticoida	Canthocamptidae		Canthocamptidae sp. BOLD_ACJ8158	Canthocamptidae sp. BOLD_ACJ8158	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2041	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium	Purpureocillium lilacinum	Purpureocillium lilacinum	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2048	Eukaryota	Oomycota		Leptomitales		Apodachlya	Apodachlya minima	Apodachlya minima	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.2136	Eukaryota	Arthropoda	Insecta	Diptera	Syrphidae	Pseudodoros	Pseudodoros clavatus	Pseudodoros clavatus	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
